[ 2025-11-12 12:35:36,274 ] 161 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-11-12 12:35:43,279 ] 19 root - INFO - Initiate the data ingestion
[ 2025-11-12 12:35:46,602 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-11-12 12:35:46,602 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-12 12:35:46,603 ] 75 root - INFO - Exporting train and test file path.
[ 2025-11-12 12:35:46,686 ] 84 root - INFO - Exported train and test file path.
[ 2025-11-12 12:35:46,687 ] 21 root - INFO - Data Initiation Completed
[ 2025-11-12 12:35:46,695 ] 25 root - INFO - Initiate the data Validation
[ 2025-11-12 12:35:46,764 ] 32 root - INFO - Required number of columns:2
[ 2025-11-12 12:35:46,765 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-12 12:35:46,765 ] 32 root - INFO - Required number of columns:2
[ 2025-11-12 12:35:46,765 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-12 12:35:46,968 ] 27 root - INFO - data Validation Completed
[ 2025-11-12 12:35:46,968 ] 30 root - INFO - data Transformation started
[ 2025-11-12 12:35:46,968 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-12 12:35:46,968 ] 65 root - INFO - Starting data transformation
[ 2025-11-12 12:35:46,998 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-11-12 12:35:46,998 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-12 12:35:47,019 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-12 12:35:47,026 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-12 12:35:47,027 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-12 12:35:47,032 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-12 12:35:47,034 ] 34 root - INFO - data Transformation completed
[ 2025-11-12 12:35:47,034 ] 36 root - INFO - Model Training sstared
[ 2025-11-12 12:39:48,008 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-12 12:39:48,009 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-12 12:39:48,009 ] 125 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\11_12_2025_12_35_36\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913148858816401, precision_score=0.9907145740815503, recall_score=0.9919159256265158), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9719934102141681, precision_score=0.9680065627563577, recall_score=0.9760132340777502))
[ 2025-11-12 12:39:48,015 ] 41 root - INFO - Model Training artifact created
