[ 2025-11-12 12:31:40,626 ] 161 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-11-12 12:31:51,832 ] 19 root - INFO - Initiate the data ingestion
[ 2025-11-12 12:31:54,747 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-11-12 12:31:54,747 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-12 12:31:54,748 ] 75 root - INFO - Exporting train and test file path.
[ 2025-11-12 12:31:54,828 ] 84 root - INFO - Exported train and test file path.
[ 2025-11-12 12:31:54,829 ] 21 root - INFO - Data Initiation Completed
[ 2025-11-12 12:31:54,838 ] 25 root - INFO - Initiate the data Validation
[ 2025-11-12 12:31:54,915 ] 32 root - INFO - Required number of columns:2
[ 2025-11-12 12:31:54,916 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-12 12:31:54,916 ] 32 root - INFO - Required number of columns:2
[ 2025-11-12 12:31:54,916 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-12 12:31:55,104 ] 27 root - INFO - data Validation Completed
[ 2025-11-12 12:31:55,104 ] 30 root - INFO - data Transformation started
[ 2025-11-12 12:31:55,104 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-12 12:31:55,105 ] 65 root - INFO - Starting data transformation
[ 2025-11-12 12:31:55,134 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-11-12 12:31:55,134 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-12 12:31:55,154 ] 43 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-12 12:31:55,159 ] 47 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-12 12:31:55,160 ] 43 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-12 12:31:55,164 ] 47 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-12 12:31:55,165 ] 34 root - INFO - data Transformation completed
[ 2025-11-12 12:31:55,165 ] 36 root - INFO - Model Training sstared
